exercise_id,exercise_file,correction_file,difficulty,mathematical_law,tip
DE05,DE05_EX.md,DE05_COR.md,Intermediate,Particular Solutions with Exponentials,Match your particular guess template directly to the exponential input force function while keeping track of any shared root conflicts.
DE06,DE06_EX.md,DE06_COR.md,Hard,Variable Substitution Method,Use a given algebraic mapping link to transform a variable coefficient equation back into a standard constant coefficient form.
SEQ07,SEQ07_EX.md,SEQ07_COR.md,Easy,Alternating Series Leibniz Test,Isolate the absolute term mapping to verify it decreases monotonically toward zero.
SEQ08,SEQ08_EX.md,SEQ08_COR.md,Intermediate,Subsequence Convergence Theorem,Use the contrasting behavior of even and odd index groupings to check if a sequence oscillates without a limit.
SEQ09,SEQ09_EX.md,SEQ09_COR.md,Hard,Riemann Sums Definition,Factor out 1/n from the sum structure to reveal a clean continuous integration framework across a [0,1] domain.
LIM07,LIM07_EX.md,LIM07_COR.md,Easy,Rationalization Identity,Multiply by the conjugate expression of the radical component to cancel out the zero-denominator factor.
LIM08,LIM08_EX.md,LIM08_COR.md,Intermediate,Logarithmic Growth Hierarchy,Factor out the fastest growing term to clearly evaluate the limit behavior at positive infinity.
LIM09,LIM09_EX.md,LIM09_COR.md,Hard,Continuity and Differentiability Linking,Use a piecewise limit calculation from both left and right sides to find parameters that ensure a smooth transition.
DIF07,DIF07_EX.md,DIF07_COR.md,Easy,Chain Rule for Differentiation,Differentiate the inner function first before applying power rules to the outer envelope.
DIF08,DIF08_EX.md,DIF08_COR.md,Intermediate,Leibniz Formula for Higher Derivatives,Use combinations of derivatives to expand higher orders without running individual chain calculations.
DIF09,DIF09_EX.md,DIF09_COR.md,Hard,Mean Value Theorem Root Bound,Show that a derivative is strictly non-zero across an interval to prove that a function cannot cross the axis more than once.
INT07,INT07_EX.md,INT07_COR.md,Easy,Trigonometric Identity Linearization,Use double-angle trigonometric identities to simplify squared terms before computing the primitive.
INT08,INT08_EX.md,INT08_COR.md,Intermediate,Trigonometric Substitution,Use a trigonometric assignment to clean up and simplify a radical difference expression.
INT09,INT09_EX.md,INT09_COR.md,Hard,Improper Integral Convergence,Split the domain boundary at the origin point to evaluate the behavior of both improper integral segments independently.
DE07,DE07_EX.md,DE07_COR.md,Easy,Separable Differential Equations,Group all y terms on one side and all x terms on the other before integrating.
DE08,DE08_EX.md,DE08_COR.md,Intermediate,Integrating Factor Method,Multiply the entire equation by an exponential factor to turn the left side into a single product derivative.
DE09,DE09_EX.md,DE09_COR.md,Hard,Second-Order Particular Polynomial Solutions,Match the degree of your polynomial guess template exactly to the highest power of the driving force.
